sym,strategy,contract,fold,train_start,train_end,test_start,test_end,best_params,is_sharpe,is_return_pct,is_trades,oos_sharpe,oos_return_pct,oos_max_dd_pct,oos_trades
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,19,2017-05-01,2019-04-01,2019-04-01,2019-12-07,"{'fast_window': 10, 'slow_window': 60}",-0.43806436685026506,-2.413588499999997,11,-1.5373935427946017,-1.274715500000001,-1.5125398742901772,13
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,20,2018-01-06,2019-12-07,2019-12-07,2020-08-13,"{'fast_window': 20, 'slow_window': 60}",-0.41406300833317755,-2.0498540000000065,17,2.0137837419150175,3.7439795000000053,-1.5086763716375033,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,21,2018-09-13,2020-08-13,2020-08-13,2021-04-20,"{'fast_window': 30, 'slow_window': 40}",0.6259966867220873,3.9213355000000005,21,1.959999944424774,6.635512500000007,-2.328712002829652,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,22,2019-05-21,2021-04-20,2021-04-20,2021-12-26,"{'fast_window': 30, 'slow_window': 40}",1.2063263468339718,10.410228999999994,25,-0.06462502508500391,-0.21992175000000724,-3.45666880439977,9
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,23,2020-01-26,2021-12-26,2021-12-26,2022-09-02,"{'fast_window': 20, 'slow_window': 60}",0.9899091063426946,10.434287000000019,11,1.2173300061167827,4.15520625000001,-4.702544908837551,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,24,2020-10-02,2022-09-02,2022-09-02,2023-05-10,"{'fast_window': 30, 'slow_window': 60}",0.7453746236458153,7.2980667499999985,13,1.0023361005367144,0.8932420000000052,-0.7139772846579103,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,25,2021-06-09,2023-05-10,2023-05-10,2024-01-15,"{'fast_window': 30, 'slow_window': 60}",1.099874037677105,11.938122750000012,13,-0.9547667772608565,-1.1102035000000066,-1.616978291230598,3
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,26,2022-02-14,2024-01-15,2024-01-15,2024-09-21,"{'fast_window': 20, 'slow_window': 60}",1.1016124535059357,10.021302249999998,11,0.3541760398522889,0.883020000000001,-2.493644589148857,1
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,27,2022-10-22,2024-09-21,2024-09-21,2025-05-29,"{'fast_window': 20, 'slow_window': 40}",0.7923846609754982,6.993950999999998,23,-0.4398553788835614,-1.4923537499999973,-4.899079757193278,9
cu,DoubleMa/CU,cu_continuous_adj15.SHFE,28,2023-06-29,2025-05-29,2025-05-29,2026-02-03,"{'fast_window': 20, 'slow_window': 40}",0.506357310964397,5.018508250000009,25,1.8455025494682193,12.017988749999997,-4.605372950416327,1
